"lat","severity","street1","street2","image_id","year","date","lng","coord","intersection","day","desc","precip","high","low","month"
"37.7726483","INJURY","11th St","Kissling St","0","2012-01-01","2012-01-09","-122.4150145","37.7726483;-122.4150145","11th St and Kissling St","09","Partly Cloudy","0.00","65","47","04"
"37.7724134","INJURY","11th St","Market","1","2012-01-01","2012-01-19","-122.4147158","37.7724134;-122.4147158","11th St and Market","19","Partly Cloudy","0.00","68","55","04"
"37.7684817","INJURY","14th St","Shotwell St","10","2012-01-01","2012-01-02","-122.416711","37.7684817;-122.416711","14th St and Shotwell St","02","Partly Cloudy","0.00","66","43","02"
"37.7694443","INJURY","Division St","9th St","100","2012-01-01","2012-01-05","-122.4062321","37.7694443;-122.4062321","Division St and 9th St","05","Partly Cloudy","0.00","65","55","07"
"37.7662724","INJURY","Dolores St","15th St","101","2012-01-01","2012-01-16","-122.4264995","37.7662724;-122.4264995","Dolores St and 15th St","16","Clear","0.00","50","35","01"
"37.7700039","INJURY","Duboce Av","Mission St","102","2012-01-01","2012-01-26","-122.4178412","37.7700039;-122.4178412","Duboce Av and Mission St","26","Scattered Clouds","0.00","69","54","06"
"37.7846631","INJURY","Ellis St","Leavenworth","103","2012-01-01","2012-01-22","-122.4144723","37.7846631;-122.4144723","Ellis St and Leavenworth","22","Scattered Clouds","0.00","69","52","04"
"37.7850798","INJURY","Ellis St","Taylor St","104","2012-01-01","2012-01-01","-122.4111597","37.7850798;-122.4111597","Ellis St and Taylor St","01","Partly Cloudy","0.01","57","45","02"
"37.7642386","INJURY","The Embarcadero","Mission St","105","2012-01-01","2012-01-14","-122.4196362","37.7642386;-122.4196362","The Embarcadero and Mission St","14","Partly Cloudy","0.00","68","54","08"
"37.794105","INJURY","The Embarcadero","Donchee","106","2012-01-01","2012-01-29","-122.393874","37.794105;-122.393874","The Embarcadero and Donchee","29","Partly Cloudy","0.00","60","43","01"
"37.794105","INJURY","The Embarcadero","Donchee","107","2012-01-01","2012-01-03","-122.393874","37.794105;-122.393874","The Embarcadero and Donchee","03","Partly Cloudy","0.00","62","44","02"
"37.789524","INJURY","The Embarcadero","Harrison Bl","108","2012-01-01","2012-01-26","-122.3886044","37.789524;-122.3886044","The Embarcadero and Harrison Bl","26","Scattered Clouds","0.00","69","54","06"
"37.7803611","INJURY","Embarcadero St","Brannan St","109","2012-01-01","2012-01-15","-122.3939557","37.7803611;-122.3939557","Embarcadero St and Brannan St","15","Partly Cloudy","0.00","61","51","05"
"37.7684217","INJURY","14th St","Vanness","11","2012-01-01","2012-01-04","-122.4178218","37.7684217;-122.4178218","14th St and Vanness","04","Partly Cloudy","0.00","57","43","01"
"37.7574921","PDO","Eureka St","20th St","110","2012-01-01","2012-01-08","-122.4379429","37.7574921;-122.4379429","Eureka St and 20th St","08","Scattered Clouds","0.00","65","46","01"
"37.7736412","INJURY","Fell St","Baker St","111","2012-01-01","2012-01-22","-122.4409112","37.7736412;-122.4409112","Fell St and Baker St","22","Fog","0.00","64","52","05"
"37.7738686","INJURY","Fell St","Broderick St","112","2012-01-01","2012-01-17","-122.4392751","37.7738686;-122.4392751","Fell St and Broderick St","17","Fog","0.00","73","55","06"
"37.7740721","PDO","Fell St","Divisadero St","113","2012-01-01","2012-01-07","-122.4376238","37.7740721;-122.4376238","Fell St and Divisadero St","07","Scattered Clouds","0.00","64","41","01"
"37.7740721","INJURY","Fell St","Divisadero St","114","2012-01-01","2012-01-14","-122.4376238","37.7740721;-122.4376238","Fell St and Divisadero St","14","Partly Cloudy","0.00","56","43","02"
"37.7740721","INJURY","Fell St","Divisadero St","115","2012-01-01","2012-01-15","-122.4376238","37.7740721;-122.4376238","Fell St and Divisadero St","15","Rain","0.08","58","42","02"
"37.7740721","INJURY","Fell St","Divisadero St","116","2012-01-01","2012-01-06","-122.4376238","37.7740721;-122.4376238","Fell St and Divisadero St","06","Scattered Clouds","0.00","57","43","04"
"37.7734303","INJURY","Fell St","Lyon St","117","2012-01-01","2012-01-26","-122.4425649","37.7734303;-122.4425649","Fell St and Lyon St","26","Fog","0.00","60","50","01"
"37.7889131","INJURY","Fillmore St","California St","118","2012-01-01","2012-01-05","-122.4338632","37.7889131;-122.4338632","Fillmore St and California St","05","Scattered Clouds","0.00","63","50","06"
"37.7685432","INJURY","Folsom St","14th St","119","2012-01-01","2012-01-07","-122.4156459","37.7685432;-122.4156459","Folsom St and 14th St","07","Fog","0.00","67","51","06"
"37.7681528","INJURY","14th St","Valencia St","12","2012-01-01","2012-01-29","-122.4222248","37.7681528;-122.4222248","14th St and Valencia St","29","Clear","0.00","80","54","08"
"37.7785241","INJURY","Folsom St","6th St","120","2012-01-01","2012-01-13","-122.4056342","37.7785241;-122.4056342","Folsom St and 6th St","13","Partly Cloudy","0.00","63","53","07"
"37.7785241","INJURY","Folsom St","6th St","121","2012-01-01","2012-01-10","-122.4056342","37.7785241;-122.4056342","Folsom St and 6th St","10","Fog","0.00","66","53","08"
